,season,school_url,school_name,games_played,win_pct,ncaa_tournament,pace,eff_fg_pct,srs_off,srs_def,sos,team_ppg,opp_ppg,off_rating,def_rating,rank
1792,2016,https://www.sports-reference.com//cbb/schools/chicago-state/2016.html,Chicago State,32,0.125,0,72.0,0.44,-9.96,-7.55,-1.38,66.9,77.4,87.93,110.59,
1793,2016,https://www.sports-reference.com//cbb/schools/cincinnati/2016.html,Cincinnati,33,0.667,1,65.5,0.493,4.15,11.04,5.25,73.3,63.3,112.05,89.50,
1794,2016,https://www.sports-reference.com//cbb/schools/citadel/2016.html,The Citadel,32,0.313,0,81.2,0.499,9.08,-25.03,-4.75,86.0,92.6,98.04,116.06,
1795,2016,https://www.sports-reference.com//cbb/schools/clemson/2016.html,Clemson,31,0.548,0,63.7,0.506,1.35,10.69,6.87,69.6,64.5,112.51,93.00,
1796,2016,https://www.sports-reference.com//cbb/schools/cleveland-state/2016.html,Cleveland State,32,0.281,0,65.9,0.453,-14.07,4.9,0.09,60.8,67.8,89.73,101.78,
1797,2016,https://www.sports-reference.com//cbb/schools/coastal-carolina/2016.html,Coastal Carolina,33,0.636,0,68.3,0.511,-4.61,2.76,-4.22,73.0,66.5,99.38,100.62,
1798,2016,https://www.sports-reference.com//cbb/schools/colgate/2016.html,Colgate,30,0.433,0,65.4,0.526,-5.37,-3.24,-6.06,69.8,71.5,99.73,110.71,
1799,2016,https://www.sports-reference.com//cbb/schools/college-of-charleston/2016.html,College of Charleston,31,0.548,0,65.2,0.48,-8.65,11.02,0.04,65.4,62.0,95.83,91.22,
1800,2016,https://www.sports-reference.com//cbb/schools/colorado-state/2016.html,Colorado State,34,0.529,0,69.3,0.504,7.18,-4.87,1.53,79.4,77.2,111.11,106.28,
1801,2016,https://www.sports-reference.com//cbb/schools/colorado/2016.html,Colorado,34,0.647,1,70.8,0.488,4.93,7.1,7.64,75.8,70.8,109.16,91.27,
1802,2016,https://www.sports-reference.com//cbb/schools/columbia/2016.html,Columbia,35,0.714,0,66.7,0.537,1.6,1.86,-2.55,76.3,68.5,111.37,104.35,
1803,2016,https://www.sports-reference.com//cbb/schools/connecticut/2016.html,Connecticut,36,0.694,1,66.1,0.516,4.41,11.48,6.28,73.1,63.5,112.48,88.40,
1804,2016,https://www.sports-reference.com//cbb/schools/coppin-state/2016.html,Coppin State,31,0.29,0,71.4,0.445,-3.95,-11.8,-6.06,72.3,80.5,92.28,112.10,
1805,2016,https://www.sports-reference.com//cbb/schools/cornell/2016.html,Cornell,28,0.357,0,72.7,0.49,-1.27,-8.28,-1.04,71.1,78.3,95.51,107.72,
1806,2016,https://www.sports-reference.com//cbb/schools/creighton/2016.html,Creighton,35,0.571,0,72.1,0.538,10.1,3.59,6.44,79.6,72.4,115.02,95.00,
1807,2016,https://www.sports-reference.com//cbb/schools/dartmouth/2016.html,Dartmouth,28,0.357,0,69.1,0.484,-5.48,-0.1,-3.29,71.1,71.0,97.60,103.92,
1808,2016,https://www.sports-reference.com//cbb/schools/davidson/2016.html,Davidson,33,0.606,0,71.2,0.521,8.98,-3.25,5.14,79.0,78.1,113.52,104.19,
1809,2016,https://www.sports-reference.com//cbb/schools/dayton/2016.html,Dayton,33,0.758,1,68.6,0.516,2.28,9.06,4.76,72.5,65.9,107.06,89.62,
1810,2016,https://www.sports-reference.com//cbb/schools/delaware-state/2016.html,Delaware State,32,0.219,0,67.3,0.455,-15.01,-5.87,-6.85,61.9,73.0,83.71,112.63,
1811,2016,https://www.sports-reference.com//cbb/schools/delaware/2016.html,Delaware,30,0.233,0,67.4,0.453,-4.63,-4.0,0.85,66.2,75.7,98.19,109.31,
1812,2016,https://www.sports-reference.com//cbb/schools/denver/2016.html,Denver,31,0.516,0,62.7,0.557,-10.4,7.06,-3.24,65.2,65.3,101.39,105.11,
1813,2016,https://www.sports-reference.com//cbb/schools/depaul/2016.html,DePaul,31,0.29,0,68.4,0.494,-0.79,1.61,8.34,67.5,75.0,104.20,102.33,
1814,2016,https://www.sports-reference.com//cbb/schools/detroit-mercy/2016.html,Detroit Mercy,31,0.516,0,75.7,0.529,8.87,-11.31,-0.82,83.7,82.8,108.14,109.64,
1815,2016,https://www.sports-reference.com//cbb/schools/drake/2016.html,Drake,31,0.226,0,66.0,0.515,-3.21,-1.94,0.92,67.5,71.9,102.58,109.36,
1816,2016,https://www.sports-reference.com//cbb/schools/drexel/2016.html,Drexel,31,0.194,0,65.6,0.443,-8.35,2.93,1.88,63.2,70.4,96.70,103.77,
1817,2016,https://www.sports-reference.com//cbb/schools/duke/2016.html,Duke,36,0.694,1,68.4,0.537,13.71,5.52,10.59,81.1,72.5,122.67,94.40,19
1818,2016,https://www.sports-reference.com//cbb/schools/duquesne/2016.html,Duquesne,34,0.5,0,73.6,0.54,7.18,-5.77,1.35,79.5,78.7,106.57,103.61,
1819,2016,https://www.sports-reference.com//cbb/schools/east-carolina/2016.html,East Carolina,32,0.375,0,67.0,0.49,-0.7,0.33,3.22,68.3,71.9,103.39,102.79,
1820,2016,https://www.sports-reference.com//cbb/schools/east-tennessee-state/2016.html,East Tennessee State,36,0.667,0,71.0,0.53,2.19,-3.68,-2.29,78.1,74.6,104.50,105.06,
1821,2016,https://www.sports-reference.com//cbb/schools/eastern-illinois/2016.html,Eastern Illinois,30,0.433,0,68.3,0.507,-4.82,-3.53,-3.52,71.5,73.8,98.09,108.96,
1822,2016,https://www.sports-reference.com//cbb/schools/eastern-kentucky/2016.html,Eastern Kentucky,31,0.484,0,73.4,0.564,5.01,-8.54,-3.86,80.5,79.1,104.74,109.02,
1823,2016,https://www.sports-reference.com//cbb/schools/eastern-michigan/2016.html,Eastern Michigan,33,0.545,0,72.5,0.494,2.82,-2.96,1.24,77.4,74.5,104.44,102.81,
1824,2016,https://www.sports-reference.com//cbb/schools/eastern-washington/2016.html,Eastern Washington,34,0.529,0,70.4,0.573,3.78,-8.24,-6.03,81.4,77.0,108.92,113.60,
1825,2016,https://www.sports-reference.com//cbb/schools/elon/2016.html,Elon,32,0.5,0,71.7,0.523,3.63,-4.3,0.66,75.9,75.4,103.60,103.68,
